Name,Release date,Price,Average playtime forever,Developers,Publishers,Genres,About the game,Estimate users,Estimated gross profit,Review score,Total days,Extras trophy,Operating System,year
BC Kings,2009-06-16,4.99,13,Mascot Entertainment,Strategy First,Strategy,"BC Kings features several new elements not commonly found in strategy games. In addition to gathering resources, training an army and defeating the enemy, you will have to solve adventure and role-playing elements as well. The campaign is built around the epic story of the brave hero Mradin, and his trusty old friend Giesnik. As you complete the main objectives, you'll run across several side-quests where you can earn Shell-coins that can be spent on upgrading your main characters. Along the way to victory you'll figure out the biggest mysteries of all time, like the purpose of Stonehenge and the mystery of the Yeti, and much more... Story driven campaign with side quests and adventure elements 63 unique units 32 unique buildings 84 technologies to research 8 devastating magic spells",189,943.11,38,5311,0,True,2009
Mission Runway,2009-07-17,9.99,0,Virtual Playground,Cosmi Valusoft,Simulation,"Do you have what it takes to design a fancy frock or a fashion flop? Compete in creative challenges for the once-in-a-lifetime opportunity to show your creations in a major runway event and become the ultimate fashion designer. Will you be asked to stay or leave Mission: Runway? Take on the fashion challenge? Compete in 10 different design challenges including To the Stars and Fashion of the Opera. Make-Up 411 Complete your outfit with make-up and choose from foundations, blush, lipsticks, eye shadows, eyeliners, and more. Accessories Complete the Outfit From Handbags and jewelry to eyewear and hats, your possibilities are limitless! Can you WOW the Judges? Dress your models in stunning ensembles with vibrant colors and bold accessories that are the latest trends this season! It’s Design Time Turn your ideas into outfits using the Design Studio and choose from 100+ combinations of outfits. Photoshoot! Take a few snaps of the model in your creations with the Photo Shoot Screen and choose your backdrop for the perfect shots.",21,209.79,5,5280,0,True,2009
Nikopol: Secrets of the Immortals,2009-07-30,4.99,72,White Birds,Meridian4,"Adventure,Indie","Set in France in the year 2023, the country is governed by a dictator who rules by absolute religious power. A mysterious ship shaped like a pyramid has just appeared in the sky and sent representatives to speak with the French government. As Nikopol, you will find yourself in a suspenseful adventure to find your father and thwart a dangerous conspiracy. Entangled in political intrigue, you're caught between two worlds, one of anarchy and one of immortality. /",346,1726.54,34,5267,0,True,2009
Bionic Commando: Rearmed,2009-07-28,9.99,96,Capcom,Capcom,Action,"Classic side-scrolling gameplay is reporting back for duty with Bionic Commando Rearmed, a remake of the classic NES game, out now on PC. 20 years after the 8-bit classic was released, Bionic Commando Rearmed recreates the world of the original with a complete '2.5D' visual revamp. Bionic Commando Rearmed preserves the original's mix of swinging and shooting in an intense 2D side-scroller, all to the tune of a brand-new soundtrack based on the classic 8-bit music from the NES masterpiece. But Rearmed is far more than just a remake - it features all-new modes such as the 2-player co-op play, smarter enemy AI, new bionic arm abilities, new weapons, bigger bosses and online rankings. Faithfully sticking to the story of the NES game, Bionic Commando Rearmed tells the story of Nathan 'R.A.D.' Spencer's first mission, sent in to retrieve captured agent Super Joe from the hands of the Imperials. Fans of the original story can expect to see all the characters from the NES version, as well as the memorable moments that made the title so popular with fans. Rearmed will also link-up to its 3D 'big brother' coming to PC, with unlockable content, in-game hints and a story that spans both games. Key Features: Classic Bionic Commando side-scrolling gameplay, updated with new abilities, weapons and bosses 2-player co-op mode Total modern visual and audio revamp Cross-game interoperability – complete specific parts of Bionic Commando Rearmed to unlock new content and hints for the Bionic Commando sequel Challenge Rooms – obstacles courses and swing puzzles that test your skills, with your best times ranked against other users in online leaderboards Top-Down Stages – the return of the top-down scrolling gameplay of the original's 'Enemy Encounter' stages, with remixed music from the classic Commando! Multiplayer – up to 4 players can face off in a frantic melee of shooting and swinging! In-game art designed by Shinkiro, one of Capcom's most talented artists",927,9260.73,205,5269,0,True,2009
Dead Space,2009-01-09,19.99,601,EA Redwood Shores,Electronic Arts,"Action,Adventure","Only the Dead Survive. A massive deep-space mining ship goes dark after unearthing a strange artifact on a distant planet. Engineer Isaac Clarke embarks on the repair mission, only to uncover a nightmarish blood bath  the ship's crew horribly slaughtered and infected by alien scourge. Now Isaac is cut off, trapped, and engaged in a desperate fight for survival. Strategically dismember the Necromorph enemies limb by bloody limb. Zero gravity combat means terror can strike from anywhere. Uncover the horrific truth of this shocking thriller. Game Features: Messy monster slaying The Necromorphs are unlike any enemies you've seen before. Headshots do about as much damage to them as flicking rubber bands. To survive, you'll need to dismember their insect-like limbs, one at a time. Improvised weapons There aren't many traditional firearms aboard the Ishimura, but there's plenty of stopping power in Isaac's toolkit. Send horizontal or vertical blasts of energy at enemies with the Plasma Cutter, remotely control a high-speed sawblade with the Disc Ripper, and fill hallways with wide swaths of destruction with the Line Gun. Switch things up with alternate fire modes, and purchase upgrades to increase ammo, power, and reload speed. Real-time attacks. Whatever you do, don’t drop your guard. Everything takes place in real-time. That means any action you take, whether it be reloading or digging through your inventory, gives the Necromorphs a perfect opportunity to attack. This nightmare has just begun and it’s up to get to the bottom of what happened here.",22332,446416.68,18270,5469,0,True,2009
Tropico 3,2009-10-20,9.99,248,Haemimont Games,Kalypso Media Digital,"Simulation,Strategy","Engage in a tropical power trip! Become the dictator of a remote island during the Cold War. Charm, persuade, intimidate, oppress, or cheat your people to stay in power! Are you a kind and generous leader? A corrupt and ruthless tyrant ruling with an iron fist? Turn your island into a tourist paradise or an industrial power. Make promises to the electorate or slander political adversaries to get the crucial votes for the upcoming elections. Send your avatar to congratulate the people, visit the island of another player, or just sun-bathe on the Caribbean beach. Play the Cold War superpowers against each other to your maximum advantage. Tropico 3 offers a tongue-in-cheek, light-hearted take on real world issues like third world politics, corruption and totalitarian regimes. A campaign consisting of 15 missions Random map generator Timeline editor The Avatar — customizable and under the player's control Election speeches Simulation of the life, family, and political views of each Tropican Vehicles and Roads New buildings and new units",1723,17212.77,1319,5185,0,True,2009
Europa Universalis III Complete,2009-02-04,14.99,404,Paradox Development Studio,Paradox Interactive,Strategy,"Europa Universalis III Complete includes the original Europa Universalis III as well as the expansions In Nomine and Napoleons Ambition Europa Universalis III delves deeply into the areas of exploration, trade, warfare and diplomacy. This epic strategy game lets players take control of a nation and guide it through the ages to become a great global empire. Unparalleled in its depth and historical accuracy, Europa Universalis III gives the player unprecedented freedom in how they choose to rule their nation from an impressive choice of over 250 historically accurate countries. Players can enjoy over 300 years of game play by starting at ANY date between 1453 and 1820. Nation building is flexible: decide your own form of government, the structure of your society, trade politics and much more. The possibilities are endless. The great people and personalities of the past are on hand to support you. Take history in your hands and call personalities like Sir Isaac Newton, Wolfgang Amadeus Mozart or René Descartes to your court. A lush topographic map in full 3D allows for a rich and complete world view, and contains more than 1700 provinces and sea zones. Lead any one of more than 250 countries that originally existed during the game's extensive time span. Have more than a thousand historical leaders and over 4000 historical Monarchs at your disposal. Manage more than 100 individual unit troops to secure as much power as possible. Co-operative multiplayer mode allows several players to work together to control a single nation. Customize your game: Europa Universalis III gives you the chance to customizeand mod practically anything your heart may desire. Join the constantly growing and incredibly talented Paradox modding community!   In Nomine includes the following features: New Missions Countries will now have specific missions tied to actual historical events which players may complete for bonuses. Players are not required to complete these missions; however, these features will give players who want defined goals a more structured path. New Decision System World leaders will now have a better overview of the decisions needed to shape the future of their country. They will also have expanded control over the future of their countries on both the provincial and national level. Rebels with a Cause Rebels with specific goals and abilities will rise to challenge players every step of the way. These 'rebels with a cause' will all have their own unique grievances and can be negotiated with or completely eradicated, at the player's discretion. Religious Tolerance Religious tolerance now depends on the ideas and decisions taken by world leaders, adding a new layer of strategy. Political and religious dissidents can be handled in a number of effective ways, from excommunicating wayward rulers to organizing crusades.   Features included in Napoleon's Ambition: Expanded Timeline The expanded timeline includes new content such as new leaders, rulers, advisor wars, countries and national ideas as well as dozens of new units for more tactical choices. Historical Options With hundreds of new events, players will be able to see their rulers, leaders and advisors appear on accurate historical dates. Improved Interface The new trading mode for the map displays all goods that will be produced in each respective province, including the value of the goods. This means the ledger will have more pages, including information about colonies and leaders. Enhanced Trading System The new trading system will let players to automatically send merchants to specific trading centers. Players can choose the trading centers they most want to focus on, and the game will automatically take care of the necessary trading actions. This system also includes a new rule for overseas trade where players will have to use war or diplomacy to give merchants access markets.",1909,28615.91,1229,5443,11,True,2009
CSX ES44AC Add-on Livery,2009-01-01,4.99,0,Dovetail Games,Dovetail Games,Simulation,"This DLC is only available to purchase in the USA. In order to be able to use this add-on livery product, you MUST first own the BNSF ES44DC Loco Add-On Loco Add-on. If you check in the in-game store it will verify if you own it before you purchase.[/b] The first pre-production models of the GE Evolution Series were built in 2003 and were equipped with either AC or DC traction motors, according to the customer’s request. Four models in the Series were produced for the North American market, the ES40DC, ES44DC, ES44AC and ES44C4, all with a low emission four-stroke diesel engine. The ES44DC replaced the Dash 9-44CW model in GE’s locomotive roster, and are similar in appearance to the Dash 9 and AC4400CW, although small differences are evident. In total, more than 1,100 models were built primarily for BNSF, CSX Transportation and the Canadian National Railway. Barring those damaged in accidents, the models still continue hauling freight services to this day. This add-on livery pack presents the ES44AC in two modern CSX livery variants known as 'YN3' and 'YN3B', and also features new 'steerable' trucks, appropriate to the CSX owned locomotives. You must own the BNSF ES44DC Loco Add-On Loco Add-on before you will be able to use this add-on",0,0.0,0,5477,0,True,2009
Jewel Quest Pack,2009-08-24,19.99,0,iWin,iWin,Casual,"Includes the first three titles in the the ultimate jewel matching adventure, Jewel Quest ! Rupert and Emma have settled down and opened a museum to display their many artifacts. While playing with a mysterious jewel board, their daughter unknowingly pops open a secret compartment. Suddenly, the air is filled with spores, and Natalie's vision fades. Desperate to save their daughter's sight, Rupert and Emma search the globe in search of the fabled Golden Jewel Board, rumored to hold the antidote that will cure her, but does it even exist? Guided by cryptic clues left by a shady stranger, Rupert and Emma encounter new challenges; wild monkeys to capture, powerful pearls that can alter the jewel boards, and head-to-head competition that pit you against renowned experts, Hani and Sebastian. Time is running out! It's up to you to follow the clues and find the cure! 200 levels in 11 regions 30 different jewels Visit every continent, while working on quests to earn jewels and artifacts Search for the fabled Golden Jewel Board Join Professor Pack on the ultimate jewel matching adventure across the world's richest continent. The dangers of the safari, The history of the Zimbabwe ruins and the majesty of Victoria Falls await your discovery, filled with puzzles of skill and twists, while surrounded by gorgeous dynamic backdrops and animation. Get swept away by the heart pounding soundtrack as you're immersed in realistic and authentic African settings. Discover an amazing new element of fun with the Exclusive Dueling Jewels Tournament Play: Pit your jewel matching skills against others around the world! Play against other players, or be matched with a computer opponent! Embark on a thrilling journey in a story filled with adventure, love, and betrayal that changes with every replay! Map your progress through 180 challenging puzzles Encounter buried relics, cursed items, and mind-boggling boards Stunning graphics, captivating music, and wild sounds Get special hints to help you with your battle against time Explore the ancient ruins of Mayan civilization while discovering hidden treasures and priceless artifacts. In this unique new take on the classic-style matching game, you must rearrange valuable relics to turn sand tiles into gold. When all of the tiles in a puzzle board are golden, you win! As you venture deeper into the jungle, you will encounter increasingly difficult puzzles containing secret twists, cursed items, and buried artifacts. Earn the respect of your fellow archaeologists and collect oodles of treasure and jewels!",39,779.6099999999999,30,5242,0,True,2009
Larva Mortus,2009-03-19,2.99,23,Meridian4,Meridian4,"Action,Indie","At the end of 19th Century, dark forces overshadow the world once again. A brave agent, experienced in exorcism and combat, comes to face the oncoming evil, and fight loathsome supernatural monsters and horrific spawns of black magic. In the role of the agent, it's your quest to combat sinister forces and to face a dark warlock of the ancient times and stop his plan to capture powerful artifacts of black magic.",733,2191.67,379,5400,25,True,2009
