index,Name,Release date,Price,Average playtime forever,Developers,Publishers,Genres,About the game,Estimate users,Estimated gross profit,Review score,Total days,Extras trophy,Operating System,year
56927,My Universe - Interior Designer,2021-12-03,24.99,0,Magic Pockets,Microids,Simulation,"Paint colours, furnishings, style, interior design, you choose each and every detail. Talk to your clients to find out more about the hopes, dreams and preferences they have for their homes. You're going to have to renovate their houses and complete the mission objectives to satisfy their needs. The happier they are with your work, the more your notoriety and level will increase! Gradually, you'll unlock new items, styles, decorative possibilities and bigger projects. During your adventure, you can play in 2 different modes: renovation mode where you can change the structure of the house by knocking down or putting up walls, taking up wooden or tiled flooring, painting, changing the wall coverings, fixing the electrics or adding new water inlets. You can also switch to decoration mode where you can choose and position the furnishings, plants, rugs, wallpaper, curtains, etc. It's up to you to add real character to the house. And if you want, you'll have the chance to work on your own projects! Choose the structure of your house: apartment, studio, house or duplex and decorate it however you like. Over to you now. Pick up your brushes and toolkit and get decorating to create the most inviting and stylish homes possible. Features Man or woman, personalise and name your character and set up your agency. It's up to you to write your own story. Renovate, transform and decorate your clients' homes based on their personality and complete the objectives to improve. Play mini-games based on renovation work. Unlock new items and decorative styles as you level-up and design your own home. Discover a wide variety of styles, wall and floor coverings and a range of furnishings to express your creativity.",5,124.95,0,758,13,True,2021
29045,Island World,2021-04-15,29.99,0,DD GAME,DD GAME,"Adventure,Casual,RPG","Game story: Your plane was destroyed by lightning near an unknown continent. You're the only survivor on the plane. After some exploration, we found that there are many enemies hidden here. Shoot the enemy! Get out of here! Content and games -Players operate characters to fight with enemies -Explore the vast map Features of the game: -The first person is a very exciting way to play. -Players need to collect guns to deal with enemies. -Please pay attention to the enemy. They are hiding in a secret place Game control mode: A-right S-shaped back W forward D-right",12,359.88,-6,990,0,True,2021
40271,Obsideo,2021-08-27,11.99,207,Kyle's Garage,Kyle's Garage,"Action,Indie,Early Access","Obsideo is a 1-4 player online co-op psychological horror, where you and your team of priests explore different locations experiencing paranormal events in an attempt to figure out what ghost they're dealing with and exorcise it from the property. You will use your ghost hunting equipment, along with a 'Ghostpedia' to try and locate where the ghost is, and the type of ghost you're dealing with. Obsideo focuses more on paying attention to context clues and what the ghost looks like, and how it interacts with the environment, as opposed to finding specific item clues and basing everything off that, this allows for a lot more replayability and keeps each playthrough unique. I also wanted everything to revolve around exorcisms, therefor every item that the ghost interacts with (Spirit box, EMF, Geiger Counter), all changes how you approach an exorcism. There are currently over 55 ghost interactions in the game, these range anywhere from a subtle move of a plate, or disembodied breathing, through to the ghost completely smashing walls, or making it rain blood. You need to pay close attention to what the ghost is doing, as it tells you exactly what ghost you're dealing with. Terrifyingly Realistic Ghost AI: Not only can they always hear you, but the ghosts will use their own knowledge of the house against you and attempt to cut you off or trap you in dead zones with nowhere to hide or escape. Unique Ghosts: Over 15 different ghosts planned for you to try and exorcise, all with different traits, personalities, and abilities. Equipment: Use popular ghost hunting equipment, such as EMF Readers, Thermometers, and RemPods to make contact with the ghost, and find out how to exorcise it from the house. Immersive Experience: All our houses are modeled to scale off real-world houses, along with having life-like graphics, Obsideo also features realistic ambient sounds that will completely immerse you within its world. Intent Recognition: Talk to the ghosts with your real voice through your microphone and they will completely understand almost everything you say, along with deciding exactly how they want to reply to that.",754,9040.46,399,856,0,True,2021
52998,Rogue Waves,2021-01-14,9.99,0,Diego Rodrigues,Diego Rodrigues,"Action,Adventure,Indie,Simulation,Early Access","Rogue Waves is a physics-based game about building war ships and progressing through a wide variety of challenges, while unraveling an immersive narrative around survival and discovery. Ship Building Build your ship taking into consideration aspects such as buoyancy, stability, energy generation and weaponry. Each added block counts, and should be carefully planned. The types of blocks include: Floater, Propeller, Rudder, Solar Panel, Battery, Machine Gun, Hydrofoil, and so on. Some blocks are special for missions or narrative elements in Story Mode. As you progress, more block types are unlocked. Story Mode A massive war led up to a series of nuclear strikes that ultimately resulted in the contamination and flooding of the planet. Biological life is mostly extinct. A few AI based mechanoids managed to survive, staying afloat by engineering and crafting low density materials. They eventually evolved, finding new ways to navigate and generate energy. In time, those mechanoids too, were led to war. Venture in this world through the eyes of a small AI entity that progressively discovers what governs the delicate relationships between all forms of wild mechanoids. Some creatures strive to survive. Others, to reign. Some are fed by chaos. Can this world be saved? Is there hope for peace and order? Sandbox In this mode, all elements of the game are unlocked, to be fiddled at will. Time, weather, sea, spawning creatures and building ships with no limitations of resources and tech.",4,39.96,2,1081,0,True,2021
27226,Halloween Night Mahjong,2021-01-31,4.99,0,Creobit,8floor,Casual,"All Saints Day is just around the corner, and that means all kinds of inexplicable and mysterious things could happen. A witch invites you to play Mahjong in an old mansion, but it’s no ordinary place – it’s a magical mansion! The loser will not only not get a treat, but will also lose their very life. Are you ready to do battle with the mighty sorceress? Complete 120 unique levels of Mahjong with varying difficulties and gameplay: classic, themed, and fast levels for points to reduce time spent waiting for gifts. Huge levels of 200 tiles for a long night and tall levels with 15 layers! On Halloween night, you have the unique opportunity to visit the house of a real witch and walk around its outskirts: an abandoned field, a garden of ghosts, a room of shadows and many other mysterious places. The magic of Halloween awaits! Trick or treat!",6,29.94,3,1064,0,True,2021
49978,Saving Sunrise,2021-12-29,1.99,0,Reforged Group,Reforged Group,Indie,"Saving Sunrise is a Survival game with a top view. The goal is to survive and wait for rescue. At night, Zombies come out of the woods and want to devour the hero, you need to hold out until morning and clean up the dead, a little respite during the day and night again... You need to collect resources, build your shelter, hold the defense, and also need to make sorties in search of ammunition and medicines. Infected people differ in several parameters, some of them are more contagious and can infect you... if you do not take the vaccine, your health will slowly melt. Zombies are persistent and will try to get you or break your fortifications, prevent them or have to build anew... With each new night, there are more undead and more dangerous specimens appear, more furious, fast and contagious. Kill all the zombies and live until dawn!",3,5.97,-1,732,6,True,2021
23607,Endless Zombie Weekend,2021-12-21,1.09,0,Neki4 Electronics,Neki4 Electronics,Action,"Endless Zombie Weekend is an endless arcade game with RPG elements. It's hard to be the only survivor after the apocalypse. How often do you think about it? As the main character of the game, you can feel it! Protect yourself and your supplies from a whole horde of zombies. Upgrade your weapons and try to survive as many days as possible. Features: - Leveling up the character. - Endless race. - Nice graphics.",10,10.9,-10,740,0,True,2021
42617,Zombie Drift,2021-01-27,0.99,0,indiegames3000,indiegames3000,"Action,Casual,Indie,Racing","/ / Will you beat all levels and become the drift killer? Zombies are everywhere! Unfortunately, you don’t have any weapon. But you do have a car! Now show those zombies who is the boss and show your drifting skills!!! Features: - Beautiful graphics - Car Garage with 9 cars available to choose from. - Many hand made levels - Endless drifting and cool zombies - And many more...",1,0.99,-1,1068,0,True,2021
17539,DISGAEA RPG,2021-11-30,0.0,0,ForwardWorks Corporation,Boltrend Games,"Action,Casual,Free to Play,RPG,Strategy,Early Access","The Netherworld, a place deeper than the deepest ocean and darker than the darkest cave. It's a chaotic world ruled by demons, monsters, and Overlords. No one knows quite where to find it. But now this dark place will open to all the players. Enter the Netherworld, try to raise the Strongest Overlord on a strange but exciting adventure. ※ GAME FEATURES ■　Protagonists from the series reunite Protagonists like Laharl, Flonne, Etna, Adell, Mao, Valvatorez and Killia from the whole series reunite and start an adventure filled with laughter and tears! ■　Original stories and music In the Netherworld, everyone's moral compass is a little different from humans. Unfold the exciting stories of your favorite characters and go through their ups and downs with background music from the series. The “Netherworld History” is for DISGAEA fans to relive their favorite plots once more and for newcomers to learn about the series' previous stories. ■ Over-the-Top Battle Systems The game uses a turn-based combat system. Assemble your dream team to your deepest desires! Amusing battle options like “Team Attack”, “Tower”, and “Throw” make the game truly strategical and hilarious. ■　Deal tons of damage Awaken and upgrade characters all the way up to the max level of 9999. Grant characters with many skills &amp; magic with enhancements and deal tons of damage to your enemies! ■ Classic elements from the series Everything you love about DISGAEA is now brought to mobile. Call the “Dark Assembly” to unlock various content, travel the infinite “Item World” to upgrade your equipment, and challenge the “Overlord’s Tower” for fiendish rewards! ■　Play Anytime, Anywhere Auto-Battling at up to 4x speed! Enjoy the epic battle at any time! ※ Notes ※ The game includes In-App Purchases content. ※ The game requires a third-party account. We suggest players to use a boltrend account to login. ※ The game may contain general mature content like part nudity and fantasy violence. We suggest you to choose whether to play. ※ The game requires Steam Overlay to login. Kindly please enable the steam overlay! ※ If you get stuck at the white login page, you can try to change your Window's region to some other English countries like UK or US to change the time and date format.",0,0.0,0,761,0,True,2021
25164,DARK SPHERE,2021-06-18,3.99,0,dorgel,WASABI entertainment,RPG,"ifuz is a dark elf warrior who can't win if she fights her enemies head-on. She has to slash the enemies from the back and the sides! But the kingdom she visits is full of dark mazes with traps and various contraptions. If she makes one mistake, the hands of evil will ambush her at once. Game features: - Map-based dark fantasy RPG featuring dungeons full of enemies, traps, and mazes. - You can defeat the enemies just by touching them from the backs or the sides. - Dungeon guide system.",19,75.81,5,926,0,True,2021
